Plataforma,Campo,Valor
TIKTOK,platform,TikTok
TIKTOK,username,raquel._.09
TIKTOK,full_name,Raquel°-°
TIKTOK,bio,Hola❤️ me podéis seguir en insta me llamo Raquel😝😝 gracias a todos los amo💖
TIKTOK,followers,2940
TIKTOK,following,4160
TIKTOK,likes,424
TIKTOK,videos,14
TIKTOK,verified,False
TIKTOK,profile_pic,https://p16-common-sign.tiktokcdn-eu.com/tos-maliva-avt-0068/700f569a690671ef5962bf923c6c887e~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=10399&refresh_token=ae52f210&x-expires=1782946800&x-signature=EkkcamBn243DbkA0NpOplCwQy50%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=no1a
TIKTOK,profile_url,https://www.tiktok.com/@raquel._.09

INSTAGRAM,platform,Instagram
INSTAGRAM,username,raquel._.09
INSTAGRAM,full_name,Raquel Ramirez
INSTAGRAM,bio,
INSTAGRAM,followers,701
INSTAGRAM,following,906
INSTAGRAM,posts,205
INSTAGRAM,is_private,True
INSTAGRAM,is_verified,False
INSTAGRAM,external_url,
INSTAGRAM,profile_pic,https://scontent.cdninstagram.com/v/t51.82787-19/627455968_18444188824111437_6726763207852587424_n.jpg?stp=dst-jpg_s100x100_tt6&_nc_cat=111&ccb=7-5&_nc_sid=bf7eb4&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy4xMDI0LkMzIn0%3D&_nc_ohc=muKYo-DQDGAQ7kNvwHDWutv&_nc_oc=AdoIYAHqyx7Jqy22-KpS9PpPVrOEiwvAsSDovwbadKgjWQNHTUZX_Ti7YgQ8JAB6n7c&_nc_zt=24&_nc_ht=scontent.cdninstagram.com&_nc_gid=VkX_XP341uQoplL9kS4jGw&_nc_ss=7b689&oh=00_AQDZfnWXAup4dE3z4UhoYUJiaPkNsG5UU4s1HyqjnWwl2Q&oe=6A48DB31
INSTAGRAM,profile_url,https://www.instagram.com/raquel._.09/

