Plataforma,Campo,Valor
INSTAGRAM,platform,Instagram
INSTAGRAM,username,cristiano
INSTAGRAM,full_name,Cristiano Ronaldo
INSTAGRAM,bio,
INSTAGRAM,followers,670000000
INSTAGRAM,following,647
INSTAGRAM,posts,4099
INSTAGRAM,is_private,False
INSTAGRAM,is_verified,False
INSTAGRAM,external_url,
INSTAGRAM,profile_pic,https://scontent.cdninstagram.com/v/t51.2885-19/472007201_1142000150877579_994350541752907763_n.jpg?stp=dst-jpg_s100x100_tt6&_nc_cat=1&ccb=7-5&_nc_sid=bf7eb4&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy4xMDgwLkMzIn0%3D&_nc_ohc=XLtwSo77SJUQ7kNvwECt2zM&_nc_oc=AdpRpdFIpUNY720kacSwRNfaMoJF3_TLGwaXsWLaxVlGae8OVF5Kmx931BFyjO2KFRo&_nc_zt=24&_nc_ht=scontent.cdninstagram.com&_nc_ss=7b689&oh=00_Af93riZ4I9D9J7l7oC8NXNMRD7F-BPoxeOdK6t10UdWmMw&oe=6A476C9E
INSTAGRAM,profile_url,https://www.instagram.com/cristiano/

