Plataforma,Campo,Valor
TIKTOK,platform,TikTok
TIKTOK,username,yoryio_0
TIKTOK,full_name,yoryio_0
TIKTOK,bio,
TIKTOK,followers,13
TIKTOK,following,82
TIKTOK,likes,0
TIKTOK,videos,0
TIKTOK,verified,False
TIKTOK,profile_pic,https://p16-common-sign.tiktokcdn-eu.com/musically-maliva-obj/1594805258216454~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=10399&refresh_token=adf59bbf&x-expires=1782831600&x-signature=6L%2BYNo9zwyxgs34Cy4xSit8JjS0%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=no1a
TIKTOK,profile_url,https://www.tiktok.com/@yoryio_0

