Plataforma,Campo,Valor
TIKTOK,platform,TikTok
TIKTOK,username,marianmateoos
TIKTOK,full_name,mariian💝
TIKTOK,bio,Salamanca🩵
TIKTOK,followers,2488
TIKTOK,following,1256
TIKTOK,likes,20200
TIKTOK,videos,23
TIKTOK,verified,False
TIKTOK,profile_pic,https://p16-common-sign.tiktokcdn-eu.com/tos-no1a-avt-0068c001-no/123d87c905c818a3a0e2475bb2123aa0~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=10399&refresh_token=6ef6c4a0&x-expires=1782946800&x-signature=UdkF7W%2FTPTPTvJOAf9zGFGy94rU%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=no1a
TIKTOK,profile_url,https://www.tiktok.com/@marianmateoos

INSTAGRAM,platform,Instagram
INSTAGRAM,username,marianmateoos
INSTAGRAM,full_name,06.
INSTAGRAM,bio,
INSTAGRAM,followers,687
INSTAGRAM,following,1208
INSTAGRAM,posts,1
INSTAGRAM,is_private,False
INSTAGRAM,is_verified,False
INSTAGRAM,external_url,
INSTAGRAM,profile_pic,https://scontent.cdninstagram.com/v/t51.75761-19/499878489_18146785864377769_4403167045482903915_n.jpg?stp=dst-jpg_s100x100_tt6&_nc_cat=111&ccb=7-5&_nc_sid=bf7eb4&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy4xMDgwLkMzIn0%3D&_nc_ohc=QE5yWRYJG_cQ7kNvwF8lXh0&_nc_oc=AdqxD8GawW2ofBISpGClHX_h4xUa5yPolCpX6lrvl7ZYWzBdFUI4WOaiEzBCJaw2oXs&_nc_zt=24&_nc_ht=scontent.cdninstagram.com&_nc_gid=cKbY9gL77gCLajL6XSww_Q&_nc_ss=7b689&oh=00_AQDCLJR9lRU8JXJUBUTlPoMoFtFWLqT32z7tSZPYJRpsKw&oe=6A48EE03
INSTAGRAM,profile_url,https://www.instagram.com/marianmateoos/

X,platform,X (Twitter)
X,username,marianmateoos
X,full_name,@marianmateoos
X,bio,Demasiado yo. Si no te gusta adiós🙃 lo que subo puedo haberlo sentido ayer o hace 4 años😝
X,location,
X,website,
X,join_date,
X,followers,14
X,following,38
X,tweets,0
X,verified,False
X,profile_pic,https://pbs.twimg.com/profile_images/1931344482168893440/wZLUR6SJ_200x200.jpg
X,profile_url,https://x.com/marianmateoos

