Plataforma,Campo,Valor
TIKTOK,platform,TikTok
TIKTOK,username,berja0022
TIKTOK,full_name,berja
TIKTOK,bio,
TIKTOK,followers,3
TIKTOK,following,86
TIKTOK,likes,0
TIKTOK,videos,0
TIKTOK,verified,False
TIKTOK,profile_pic,https://p16-common-sign.tiktokcdn-eu.com/tos-no1a-avt-0068c001-no/2f250b7aea879fc49c8bd183b4c66882~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=10399&refresh_token=edfb27a2&x-expires=1782831600&x-signature=%2BXjMMwOxbWwLYC9aHdpAKAgMPZE%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=no1a
TIKTOK,profile_url,https://www.tiktok.com/@berja0022

