Plataforma,Campo,Valor
TIKTOK,platform,TikTok
TIKTOK,username,elonmusk
TIKTOK,full_name,Elon Musk
TIKTOK,bio,https://x.com/elonmusk
TIKTOK,followers,528800
TIKTOK,following,0
TIKTOK,likes,785900
TIKTOK,videos,1
TIKTOK,verified,True
TIKTOK,profile_pic,https://p16-common-sign.tiktokcdn-eu.com/tos-maliva-avt-0068/b13c720f978a05a3a1a5936e7838352c~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=10399&refresh_token=09552d89&x-expires=1782828000&x-signature=UItrrpGl3mLomWGUojxLDNfpHq8%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=no1a
TIKTOK,profile_url,https://www.tiktok.com/@elonmusk

