Plataforma,Campo,Valor
TIKTOK,platform,TikTok
TIKTOK,username,ladelpueblo37110
TIKTOK,full_name,
TIKTOK,bio,
TIKTOK,followers,0
TIKTOK,following,0
TIKTOK,likes,0
TIKTOK,videos,0
TIKTOK,verified,False
TIKTOK,profile_pic,
TIKTOK,profile_url,https://www.tiktok.com/@ladelpueblo37110

INSTAGRAM,platform,Instagram
INSTAGRAM,username,ladelpueblo37110
INSTAGRAM,full_name,M💝
INSTAGRAM,bio,
INSTAGRAM,followers,32
INSTAGRAM,following,32
INSTAGRAM,posts,0
INSTAGRAM,is_private,False
INSTAGRAM,is_verified,False
INSTAGRAM,external_url,
INSTAGRAM,profile_pic,https://scontent.cdninstagram.com/v/t51.2885-19/470894643_1297614404708039_8650644243102481791_n.jpg?stp=dst-jpg_s100x100_tt6&_nc_cat=100&ccb=7-5&_nc_sid=bf7eb4&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy4xMDgwLkMzIn0%3D&_nc_ohc=Kty-HQZZ1GYQ7kNvwFh0v8h&_nc_oc=AdrzsRQmwYSg_Jjx3phz-GIijJ5E0hdb_4-3uvhFUgFuszedhfT4RHysCAyGNUmkAhI&_nc_zt=24&_nc_ht=scontent.cdninstagram.com&_nc_ss=7b289&oh=00_Af_dbiE6cD6NW-9usy_uLzHjXqFI4N9v13TmyuQx1-KCVw&oe=6A486C1A
INSTAGRAM,profile_url,https://www.instagram.com/ladelpueblo37110/

