Plataforma,Campo,Valor
TIKTOK,platform,TikTok
TIKTOK,username,disney
TIKTOK,full_name,Disney
TIKTOK,bio,#ToyStory5 is NOW PLAYING only in theaters! Get your tickets today!
TIKTOK,followers,15400000
TIKTOK,following,45
TIKTOK,likes,161300000
TIKTOK,videos,1612
TIKTOK,verified,True
TIKTOK,profile_pic,https://p16-common-sign.tiktokcdn-eu.com/tos-maliva-avt-0068/cbddb07ea7f5be277be449bf9163477e~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=10399&refresh_token=3331a751&x-expires=1782867600&x-signature=Cv0oJzjFeJKkuHHg0NkGplV3ElE%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=no1a
TIKTOK,profile_url,https://www.tiktok.com/@Disney

INSTAGRAM,platform,Instagram
INSTAGRAM,username,Disney
INSTAGRAM,full_name,@Disney
INSTAGRAM,bio,
INSTAGRAM,followers,40000000
INSTAGRAM,following,98
INSTAGRAM,posts,10000
INSTAGRAM,is_private,False
INSTAGRAM,is_verified,False
INSTAGRAM,external_url,
INSTAGRAM,profile_pic,https://scontent.cdninstagram.com/v/t51.82787-19/681692858_18587843602026735_8030287207233432804_n.jpg?stp=dst-jpg_s100x100_tt6&_nc_cat=1&ccb=7-5&_nc_sid=bf7eb4&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy44MDAuQzMifQ%3D%3D&_nc_ohc=i45TH83JeJQQ7kNvwG_pMJN&_nc_oc=AdqUTRsj4ier1-0AVftftV9yNnNOYhPIbTJ0empWa4OkWsOgDgSkd98uWxlQ4L59Qso&_nc_zt=24&_nc_ht=scontent.cdninstagram.com&_nc_gid=PgR04Y4DBW5WWvQDkOfXZw&_nc_ss=7b689&oh=00_Af-mRQ5GWRH2O9z44viug5RDvgW1mVxaP4UQlc8Kedq1Vw&oe=6A4781CF
INSTAGRAM,profile_url,https://www.instagram.com/Disney/

X,platform,X (Twitter)
X,username,Disney
X,full_name,Disney
X,bio,#ToyStory5 is NOW PLAYING only in theaters! Get your tickets today!
X,location,
X,website,
X,join_date,
X,followers,101000000
X,following,94
X,tweets,0
X,verified,False
X,profile_pic,https://pbs.twimg.com/profile_images/2049111763665186817/foOOMOS3_200x200.jpg
X,profile_url,https://x.com/Disney

FACEBOOK,platform,Facebook
FACEBOOK,username,Disney
FACEBOOK,full_name,Disney
FACEBOOK,bio,Disney. 58 914 780 Me gusta · 34 547 personas están hablando de esto. #ToyStory5 is NOW PLAYING only in theaters! Get your tickets today!
FACEBOOK,category,
FACEBOOK,likes,0
FACEBOOK,followers,0
FACEBOOK,website,
FACEBOOK,verified,False
FACEBOOK,profile_pic,https://scontent.fmad20-1.fna.fbcdn.net/v/t39.30808-1/682113695_1370498988459151_6307224781116582104_n.jpg?stp=dst-jpg_tt6&cstp=mx800x800&ctp=s720x720&_nc_cat=1&ccb=1-7&_nc_sid=3ab345&_nc_ohc=eItK21BC-KsQ7kNvwHZUNcu&_nc_oc=Adqewt4LuRl13GN165irMGxdFGkamrjZ4vCBMDjhWb_oEDjAi7VK4FGjghJgAvl2hI4&_nc_zt=24&_nc_ht=scontent.fmad20-1.fna&_nc_gid=px42oc5NJ57wu1RCdNaKUg&_nc_ss=7b289&oh=00_Af-FW0Ykl97cj5UtaGXA_V4UnBXxIo5qB-FeTBgYJkO1PQ&oe=6A47AD37
FACEBOOK,profile_url,https://www.facebook.com/Disney

