Plataforma,Campo,Valor
TIKTOK,platform,TikTok
TIKTOK,username,raquel._.095
TIKTOK,full_name,Rachel
TIKTOK,bio,
TIKTOK,followers,147
TIKTOK,following,129
TIKTOK,likes,76
TIKTOK,videos,1
TIKTOK,verified,False
TIKTOK,profile_pic,https://p16-common-sign.tiktokcdn-eu.com/tos-maliva-avt-0068/6338edaf3be70069134e0cae051705c4~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=10399&refresh_token=213a7fdb&x-expires=1782946800&x-signature=UMVT9%2BgpOR%2BLzfPcnf6AlOzICeE%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=no1a
TIKTOK,profile_url,https://www.tiktok.com/@raquel._.095

INSTAGRAM,platform,Instagram
INSTAGRAM,username,raquel._.095
INSTAGRAM,full_name,Raquel._.09
INSTAGRAM,bio,
INSTAGRAM,followers,279
INSTAGRAM,following,299
INSTAGRAM,posts,0
INSTAGRAM,is_private,False
INSTAGRAM,is_verified,False
INSTAGRAM,external_url,
INSTAGRAM,profile_pic,https://scontent.cdninstagram.com/v/t51.82787-19/623505237_18035175869757043_630017527036094397_n.jpg?stp=dst-jpg_s100x100_tt6&_nc_cat=103&ccb=7-5&_nc_sid=bf7eb4&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy4xMDgwLkMzIn0%3D&_nc_ohc=1MEQv-SVqagQ7kNvwEGB8Ir&_nc_oc=Adr13IGKET7iHAjKMAIKhPjVY22nupWFoV0_AGcyBtcK5_Rjo6MhuLcEbkzUyXomz-w&_nc_zt=24&_nc_ht=scontent.cdninstagram.com&_nc_gid=SiBizg8hmq9-QQZQ8cWBFg&_nc_ss=7b689&oh=00_AQBaR2u15_lrXsqjRv7wOblekTPhoq_-I1VFpa5Ob1ToMQ&oe=6A48C603
INSTAGRAM,profile_url,https://www.instagram.com/raquel._.095/

