Plataforma,Campo,Valor
TIKTOK,platform,TikTok
TIKTOK,username,Nexovon
TIKTOK,full_name,
TIKTOK,bio,
TIKTOK,followers,0
TIKTOK,following,0
TIKTOK,likes,0
TIKTOK,videos,0
TIKTOK,verified,False
TIKTOK,profile_pic,
TIKTOK,profile_url,https://www.tiktok.com/@Nexovon

X,platform,X (Twitter)
X,username,Nexovon
X,full_name,nexo.
X,bio,0 followers · 3 following. Se unió el Feb 2022. See the latest conversations with @NexoVon
X,location,
X,website,
X,join_date,
X,followers,0
X,following,3
X,tweets,0
X,verified,False
X,profile_pic,https://pbs.twimg.com/profile_images/1498004081855680513/0MXJWmKq_200x200.jpg
X,profile_url,https://x.com/Nexovon

