Plataforma,Campo,Valor
TIKTOK,platform,TikTok
TIKTOK,username,berjano_02
TIKTOK,full_name,
TIKTOK,bio,
TIKTOK,followers,0
TIKTOK,following,0
TIKTOK,likes,0
TIKTOK,videos,0
TIKTOK,verified,False
TIKTOK,profile_pic,
TIKTOK,profile_url,https://www.tiktok.com/@berjano_02

INSTAGRAM,platform,Instagram
INSTAGRAM,username,berjano_02
INSTAGRAM,full_name,Berja
INSTAGRAM,bio,
INSTAGRAM,followers,94
INSTAGRAM,following,34
INSTAGRAM,posts,19
INSTAGRAM,is_private,False
INSTAGRAM,is_verified,False
INSTAGRAM,external_url,
INSTAGRAM,profile_pic,https://scontent.cdninstagram.com/v/t51.2885-19/456440462_1165358278075733_2790338565760811325_n.jpg?stp=dst-jpg_s100x100_tt6&_nc_cat=108&ccb=7-5&_nc_sid=bf7eb4&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy4xMDc4LkMzIn0%3D&_nc_ohc=eUouY-Yn07wQ7kNvwHo3Uhi&_nc_oc=AdqnKfNdfoYOBFaQDu6DwkPYVJlKlhOGbpoqtKcSuwPqH0gw2-nCOsZGllOFfR23L_o&_nc_zt=24&_nc_ht=scontent.cdninstagram.com&_nc_ss=7b689&oh=00_Af_2WPaTvZQm2zq9AX67tHM7r_QeC96XPbRFWxAp-dgBAg&oe=6A478BD0
INSTAGRAM,profile_url,https://www.instagram.com/berjano_02/

