Plataforma,Campo,Valor
TIKTOK,platform,TikTok
TIKTOK,username,cristiano
TIKTOK,full_name,cristiano
TIKTOK,bio,Inspired by a young legen
TIKTOK,followers,6128
TIKTOK,following,0
TIKTOK,likes,142500
TIKTOK,videos,0
TIKTOK,verified,False
TIKTOK,profile_pic,https://p19-common-sign.tiktokcdn-eu.com/tos-alisg-avt-0068/99a399cbfb77f0c185e586e74a5bbe30~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=10399&refresh_token=38a82236&x-expires=1782831600&x-signature=hkM%2BAu%2FBv8yxPL0%2Bkn%2F0V63ffoo%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=no1a
TIKTOK,profile_url,https://www.tiktok.com/@cristiano

X,platform,X (Twitter)
X,username,cristiano
X,full_name,Cristiano Ronaldo
X,bio,Welcome to the official account of Cristiano Ronaldo.
X,location,
X,website,
X,join_date,
X,followers,1104000000
X,following,82
X,tweets,0
X,verified,False
X,profile_pic,https://pbs.twimg.com/profile_images/1940344470290989057/1OUP8RgK_200x200.jpg
X,profile_url,https://x.com/cristiano

FACEBOOK,platform,Facebook
FACEBOOK,username,cristiano
FACEBOOK,full_name,Cristiano Ronaldo
FACEBOOK,bio,Cristiano Ronaldo. 172 939 826 Me gusta · 12 007 635 personas están hablando de esto. Welcome to the official Facebook page of Cristiano Ronaldo.
FACEBOOK,category,
FACEBOOK,likes,0
FACEBOOK,followers,0
FACEBOOK,website,
FACEBOOK,verified,False
FACEBOOK,profile_pic,https://scontent.fmad20-1.fna.fbcdn.net/v/t39.30808-1/724056214_1657518462401354_1550185043079196898_n.jpg?stp=dst-jpg_tt6&cstp=mx1366x2048&ctp=s960x960&_nc_cat=1&ccb=1-7&_nc_sid=3ab345&_nc_ohc=hVDdeixLPdsQ7kNvwEpTkuU&_nc_oc=Adp4BJKLrazRgzPWZoksKoy1uAJDx9zJekzXCqNpCC0yfJWzHwaP36nUWPJG1pxFyoU&_nc_zt=24&_nc_ht=scontent.fmad20-1.fna&_nc_gid=c84uFevmSYtiwZ695xCRSw&_nc_ss=7b289&oh=00_Af8P6ZJWhiAesAbI_5BgpwwFQzfnSgkIXoqGd4ccQshyMA&oe=6A4728A0
FACEBOOK,profile_url,https://www.facebook.com/cristiano

